stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
155,,Hills St and Oak St,41.743851,-72.575263,,,,
156,,Hills St and Oak St,41.743664,-72.575263,,,,
157,,E River Dr and Opp Hampton Inn,41.764039,-72.662656,,,,
159,,Main St and Capen St,41.783833,-72.675345,,,,
160,,Barbour St and Tower Ave,41.798268,-72.67592,,,,
161,,Windsor Ave and Wilson Park and Ride Lot,41.812637,-72.658965,,,,
162,,Deerfield Rd and Portman St,41.828836,-72.655555,,,,
163,,Park St and Broad St,41.758142,-72.686788,,,,
164,,Park St and Broad St,41.757964,-72.6872,,,,
166,,New Park Ave and Park St,41.756938,-72.706498,,,,
167,,BJ'S and New Park Ave,41.739746,-72.720261,,,,
168,,Park Rd and Quaker Ln S,41.755707,-72.730157,,,,
169,,Park Rd and Quaker Ln S,41.755759,-72.728849,,,,
170,,Park St and Sisson Ave,41.757251,-72.706425,,,,
171,,Park St and New Park Ave,41.757045,-72.706571,,,,
172,,Silas Deane Hwy and Jordan Ln,41.723614,-72.667933,,,,
173,,Silas Deane Hwy and Jordan Ln,41.723186,-72.668261,,,,
174,,Silas Deane Hwy and Motel 6,41.683426,-72.654508,,,,
177,,Charter Rd and Opp Town Line Rd,41.682369,-72.659158,,,,
178,,Old Main St and Glastonbury Ave,41.665254,-72.638827,,,,
180,,Main St and West St,41.596046,-72.645684,,,,
181,,Main St and Opp West St,41.595464,-72.645456,,,,
183,,Union St and Main St,41.55674,-72.646837,,,,
184,,C V H and Silvermine Rd,41.557086,-72.621712,,,,
186,,Folly Brook Blvd and Jordan Ln,41.722653,-72.67865,,,,
188,,Main St and Park St,41.756852,-72.675658,,,,
189,,Main St and Opp Putnam Plaza,41.729218,-72.618252,,,,
190,,Reverend Moody Opas and Opp Savitt Way,41.782347,-72.665655,,,,
191,,Mechanic St and Opp R R Station,41.851547,-72.641757,,,,
193,,Mountain Rd and Bloomfield Ave,41.852672,-72.667663,,,,
194,,Kennedy Rd and Opp Stop and Shop Supermarket,41.892155,-72.649271,,,,
195,,Kennedy Rd and Stop and Shop,41.89246,-72.649767,,,,
198,,Bradley Intl Airport and Terminal A,41.929806,-72.685373,,,,
200,,Windsor Ave and Skitchewaug St,41.813081,-72.657073,,,,
201,,Commerce St and 76 Commerce St,41.709647,-72.588205,,,,
203,,Handel Rd and Opp Woodycrest Dr,41.739433,-72.618536,,,,
204,,Handel Rd and Opp Evans Ave 2,41.737396,-72.618421,,,,
205,,Main St and Maple St,41.732543,-72.624333,,,,
206,,Main St and Broad St,41.73249,-72.624587,,,,
209,,Main St and Putnam Plaza Park and Ride,41.728062,-72.616645,,,,
210,,Main St and 2963 Main St,41.723779,-72.615156,,,,
213,,Main St and Rankin Rd,41.711658,-72.60822,,,,
216,,Commerce St and Oak St,41.709233,-72.591293,,,,
217,,Hubbard St and Glastonbury High Sch,41.702615,-72.593494,,,,
218,,Country Ln and Oak St,41.737022,-72.574548,,,,
219,,Commerce St and Oak St,41.709403,-72.591353,,,,
226,,Bank St and Main St,41.667628,-72.781441,,,,
227,,Vine St and Albany Ave,41.779424,-72.688732,,,,
229,,Greenwood Ave and Elizabeth Ave,41.810108,-72.689859,,,,
230,,Newington Rd and New Britain Ave,41.731675,-72.730566,,,,
231,,Retreat Ave and 99 Retreat Ave,41.753727,-72.678487,,,,
232,,Retreat Ave and 100 Retreat Ave,41.7537,-72.678185,,,,
233,,New Britain Ave and Hillside Ave,41.739483,-72.697071,,,,
234,,New Britain Ave and Opp Newington Rd,41.732095,-72.730142,,,,
235,,New Britain Ave and Newington Rd,41.731791,-72.729851,,,,
236,,Federal St and Sampson St,41.722933,-72.740542,,,,
237,,Federal St and Sampson St,41.722826,-72.740773,,,,
238,,Jefferson St and Washington St,41.755501,-72.682251,,,,
239,,Albany Ave and Blue Hills Ave,41.782606,-72.697087,,,,
241,,Mark Twain Dr and Ogilby Dr 1,41.788891,-72.708649,,,,
242,,Mark Twain Dr and Opp Ogilby Dr 2,41.788417,-72.708565,,,,
243,,Burnham St and Granby St,41.804825,-72.706779,,,,
244,,Granby St and Opp Burnham St,41.804629,-72.707422,,,,
245,,Garden St and Risley St,41.79258,-72.680465,,,,
247,,Burlington Coat and Copaco,41.816288,-72.712166,,,,
248,,Seabury Apt and Seabury DR,41.833471,-72.707287,,,,
249,,Garden St and Albany Ave,41.778178,-72.685318,,,,
250,,Garden St and Albany Ave,41.778277,-72.685536,,,,
251,,Wolcott Hill Rd and Jordan Ln,41.723245,-72.673104,,,,
252,,Wolcott Hill Rd and Jordan Ln,41.723727,-72.672788,,,,
254,,Wolcott Hill Rd and Prospect St,41.694498,-72.667588,,,,
255,,Wolcott Hill Rd and Prospect St,41.694828,-72.66743,,,,
